"""regulation""","name","selected","shared name"
"""up""","""FAM78A""","false","""FAM78A"""
"""up""","""hsa-miR-140-5p""","false","""hsa-miR-140-5p"""
"""up""","""NKAIN1""","false","""NKAIN1"""
"""down""","""C21orf62""","false","""C21orf62"""
"""down""","""KSR2""","false","""KSR2"""
"""down""","""THSD4""","false","""THSD4"""
"""up""","""hsa-miR-28-5p""","false","""hsa-miR-28-5p"""
"""up""","""RGMA""","false","""RGMA"""
"""up""","""RIMKLA""","false","""RIMKLA"""
"""down""","""C7""","false","""C7"""
"""down""","""FECH""","false","""FECH"""
"""down""","""PCDH9""","false","""PCDH9"""
"""down""","""VAV3""","false","""VAV3"""
"""down""","""PLA2R1""","false","""PLA2R1"""
"""down""","""GABRA2""","false","""GABRA2"""
"""down""","""HYKK""","false","""HYKK"""
"""up""","""GJC1""","false","""GJC1"""
"""up""","""KALRN""","false","""KALRN"""
"""down""","""PPM1E""","false","""PPM1E"""
"""down""","""FLRT2""","false","""FLRT2"""
"""down""","""BSND""","false","""BSND"""
"""down""","""ANO5""","false","""ANO5"""
"""down""","""hsa-miR-532-5p""","false","""hsa-miR-532-5p"""
"""down""","""EPB41L5""","false","""EPB41L5"""
"""down""","""SLC8A1""","false","""SLC8A1"""
"""down""","""GREM2""","false","""GREM2"""
"""down""","""SDR42E1""","false","""SDR42E1"""
"""down""","""FRK""","false","""FRK"""
"""down""","""GP2""","false","""GP2"""
"""down""","""NAT8L""","false","""NAT8L"""
"""down""","""PSD3""","false","""PSD3"""
"""down""","""FAXC""","false","""FAXC"""
"""down""","""NPNT""","false","""NPNT"""
